date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:07:57	48419/48419	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Jul%202018%2014:37:27%20GMT	http://www.themestarz.net/html/selfer/assets/img/img-work-detail-02.jpg	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/img/img-work-detail-02.jpg	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:08:01	18994/18994	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:54%20GMT	http://www.themestarz.net/html/selfer/assets/js/popper.min.js	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/js/popper.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:08:01	250018/250018	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:37:17%20GMT	http://www.themestarz.net/html/selfer/assets/img/img-work-10.png	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/img/img-work-10.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:08:03	5594/5594	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:43%20GMT	http://www.themestarz.net/html/selfer/assets/js/imagesloaded.pkgd.min.js	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/js/imagesloaded.pkgd.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:08:04	1761/1761	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:44%20GMT	http://www.themestarz.net/html/selfer/assets/js/isInViewport.jquery.js	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/js/isInViewport.jquery.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:08:06	86927/86927	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:46%20GMT	http://www.themestarz.net/html/selfer/assets/js/jquery-3.3.1.min.js	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/js/jquery-3.3.1.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:08:07	1079/1079	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:55%20GMT	http://www.themestarz.net/html/selfer/assets/js/scrolla.jquery.min.js	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/js/scrolla.jquery.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:08:07	20947/20947	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:48%20GMT	http://www.themestarz.net/html/selfer/assets/js/jquery.magnific-popup.min.js	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/js/jquery.magnific-popup.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:08:08	48903/48903	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:34:48%20GMT	http://www.themestarz.net/html/selfer/assets/bootstrap/js/bootstrap.min.js	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/bootstrap/js/bootstrap.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:08:09	2042/2042	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:47%20GMT	http://www.themestarz.net/html/selfer/assets/js/jquery-validate.bootstrap-tooltip.min.js	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/js/jquery-validate.bootstrap-tooltip.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:08:11	10264/10264	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:52%20GMT	http://www.themestarz.net/html/selfer/assets/js/odometer.min.js	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/js/odometer.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:08:11	23261/23261	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:50%20GMT	http://www.themestarz.net/html/selfer/assets/js/jquery.validate.min.js	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/js/jquery.validate.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:08:18	18174/18174	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:42%20GMT	http://www.themestarz.net/html/selfer/assets/js/custom.js	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/js/custom.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:08:20	42766/42766	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Jul%202018%2014:37:53%20GMT	http://www.themestarz.net/html/selfer/assets/js/owl.carousel.min.js	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/js/owl.carousel.min.js	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:08:24	358307/358307	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Jul%202018%2014:37:24%20GMT	http://www.themestarz.net/html/selfer/assets/img/img-work-11.png	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/img/img-work-11.png	(from http://www.themestarz.net/html/selfer/?storefront=envato-elements)
23:08:27	54420/54420	---M--	200	added ('OK')	font/woff2	date:Tue,%2017%20Jul%202018%2014:35:57%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.woff2	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.woff2	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
23:08:31	98620/98620	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2017%20Jul%202018%2014:35:41%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.eot	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.eot	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
23:08:36	507478/507478	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2017%20Jul%202018%2014:35:51%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.svg	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.svg	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
23:08:37	63712/63712	---M--	200	added ('OK')	font/woff	date:Tue,%2017%20Jul%202018%2014:35:55%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.woff	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.woff	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
23:08:38	98620/98620	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2017%20Jul%202018%2014:35:41%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400.eot?	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-brands-400d41d.eot	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
23:08:40	12220/12220	---M--	200	added ('OK')	font/woff2	date:Tue,%2017%20Jul%202018%2014:36:03%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.woff2	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.woff2	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
23:08:42	31156/31156	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2017%20Jul%202018%2014:35:58%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.eot	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.eot	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
23:08:42	14712/14712	---M--	200	added ('OK')	font/woff	date:Tue,%2017%20Jul%202018%2014:36:03%20GMT	http://www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.woff	C:/Users/hp/Downloads/website/Website%201/www.themestarz.net/html/selfer/assets/font-awesome/webfonts/fa-regular-400.woff	(from http://www.themestarz.net/html/selfer/assets/font-awesome/css/fontawesome-all.min.css)
